0 0.01 -1.88486e-009  0.004 1.77636e-018 0.004
0.096 0.0065346 -0.0677047  0.00170804 0.00229196 0.004
0.097 0.00646663 -0.0682247  0.00167269 0.00232731 0.004
0.098 0.00639815 -0.0687393  0.00163745 0.00236255 0.004
0.099 0.00632916 -0.0692484  0.00160233 0.00239767 0.004
0.1 0.00625966 -0.069752  0.00156733 0.00243267 0.004
0.101 0.00618965 -0.0702499  0.00153247 0.00246753 0.004
0.102 0.00611916 -0.0707423  0.00149776 0.00250224 0.004
0.103 0.00604817 -0.071229  0.00146322 0.00253678 0.004
0.104 0.0059767 -0.07171  0.00142884 0.00257116 0.004
0.105 0.00590475 -0.0721853  0.00139464 0.00260536 0.004
0.106 0.00583233 -0.0726547  0.00136064 0.00263936 0.004
0.107 0.00575945 -0.0731184  0.00132685 0.00267315 0.004
0.108 0.0056861 -0.0735762  0.00129327 0.00270673 0.004
0.109 0.0056123 -0.0740282  0.00125991 0.00274009 0.004
0.11 0.00553804 -0.0744742  0.0012268 0.0027732 0.004
0.111 0.00546335 -0.0749143  0.00119393 0.00280607 0.004
0.112 0.00538822 -0.0753483  0.00116132 0.00283868 0.004
0.113 0.00531265 -0.0757764  0.00112897 0.00287103 0.004
0.114 0.00523667 -0.0761983  0.00109691 0.00290309 0.004
0.115 0.00516026 -0.0766142  0.00106513 0.00293487 0.004
0.116 0.00508344 -0.077024  0.00103365 0.00296635 0.004
0.117 0.00500621 -0.0774275  0.00100249 0.00299751 0.004
0.118 0.00492859 -0.0778249  0.000971639 0.00302836 0.004
0.119 0.00485057 -0.0782161  0.00094112 0.00305888 0.004
0.12 0.00477216 -0.078601  0.000910939 0.00308906 0.004
0.121 0.00469337 -0.0789796  0.000881108 0.00311889 0.004
0.122 0.0046142 -0.079352  0.000851634 0.00314837 0.004
0.123 0.00453466 -0.0797179  0.000822527 0.00317747 0.004
0.124 0.00445477 -0.0800775  0.000793798 0.0032062 0.004
0.125 0.00437451 -0.0804307  0.000765454 0.00323455 0.004
0.126 0.00429391 -0.0807774  0.000737506 0.00326249 0.004
0.127 0.00421296 -0.0811177  0.000709961 0.00329004 0.004
0.128 0.00413167 -0.0814515  0.000682829 0.00331717 0.004
0.129 0.00405006 -0.0817787  0.000656119 0.00334388 0.004
0.13 0.00396812 -0.0820995  0.000629839 0.00337016 0.004
0.131 0.00388586 -0.0824136  0.000603997 0.003396 0.004
0.132 0.00380329 -0.0827212  0.000578602 0.0034214 0.004
0.133 0.00372042 -0.0830221  0.000553661 0.00344634 0.004
0.134 0.00363725 -0.0833165  0.000529184 0.00347082 0.004
0.135 0.00355379 -0.0836041  0.000505177 0.00349482 0.004
0.136 0.00347005 -0.0838851  0.000481649 0.00351835 0.004
0.137 0.00338602 -0.0841593  0.000458606 0.00354139 0.004
0.138 0.00330173 -0.0844268  0.000436057 0.00356394 0.004
0.139 0.00321717 -0.0846876  0.000414008 0.00358599 0.004
0.14 0.00313236 -0.0849416  0.000392466 0.00360753 0.004
0.141 0.00304729 -0.0851887  0.000371439 0.00362856 0.004
0.142 0.00296198 -0.0854291  0.000350933 0.00364907 0.004
0.143 0.00287643 -0.0856627  0.000330955 0.00366904 0.004
0.144 0.00279066 -0.0858893  0.000311511 0.00368849 0.004
0.145 0.00270466 -0.0861092  0.000292607 0.00370739 0.004
0.146 0.00261844 -0.0863221  0.00027425 0.00372575 0.004
0.147 0.00253202 -0.0865281  0.000256444 0.00374356 0.004
0.148 0.00244539 -0.0867272  0.000239197 0.0037608 0.004
0.149 0.00235856 -0.0869194  0.000222513 0.00377749 0.004
0.15 0.00227155 -0.0871046  0.000206398 0.0037936 0.004
0.151 0.00218436 -0.0872828  0.000190857 0.00380914 0.004
0.152 0.00209699 -0.0874541  0.000175894 0.00382411 0.004
0.153 0.00200945 -0.0876183  0.000161516 0.00383848 0.004
0.154 0.00192175 -0.0877756  0.000147726 0.00385227 0.004
0.155 0.0018339 -0.0879258  0.000134528 0.00386547 0.004
0.156 0.00174591 -0.088069  0.000121927 0.00387807 0.004
0.157 0.00165777 -0.0882051  0.000109928 0.00389007 0.004
0.158 0.0015695 -0.0883342  9.85329e-005 0.00390147 0.004
0.159 0.0014811 -0.0884562  8.77465e-005 0.00391225 0.004
0.16 0.00139259 -0.0885712  7.7572e-005 0.00392243 0.004
0.161 0.00130396 -0.0886791  6.80126e-005 0.00393199 0.004
0.162 0.00121523 -0.0887798  5.90715e-005 0.00394093 0.004
0.163 0.0011264 -0.0888735  5.07515e-005 0.00394925 0.004
0.164 0.00103749 -0.08896  4.30552e-005 0.00395694 0.004
0.165 0.000948486 -0.0890395  3.59851e-005 0.00396401 0.004
0.166 0.00085941 -0.0891118  2.95434e-005 0.00397046 0.004
0.167 0.000770265 -0.089177  2.37323e-005 0.00397627 0.004
0.168 0.000681059 -0.089235  1.85536e-005 0.00398145 0.004
0.169 0.000591798 -0.089286  1.4009e-005 0.00398599 0.004
0.17 0.000502489 -0.0893297  1.00998e-005 0.0039899 0.004
0.171 0.00041314 -0.0893664  6.8274e-006 0.00399317 0.004
0.172 0.000323759 -0.0893958  4.19279e-006 0.00399581 0.004
0.173 0.000234351 -0.0894182  2.19682e-006 0.0039978 0.004
0.174 0.000144925 -0.0894333  8.40129e-007 0.00399916 0.004
0.175 5.54869e-005 -0.0894413  1.23152e-007 0.00399988 0.004
0.176 -3.39554e-005 -0.0894422  4.61189e-008 0.00399995 0.004
