0 0.01 -1.88486e-009  0.004 1.77636e-018 0.004
0.412 -0.00855931 0.0462499  0.00293047 0.00106953 0.004
0.413 -0.00851272 0.0469328  0.00289866 0.00110134 0.004
0.414 -0.00846545 0.0476119  0.00286655 0.00113345 0.004
0.415 -0.0084175 0.0482873  0.00283417 0.00116583 0.004
0.416 -0.00836887 0.0489587  0.00280152 0.00119848 0.004
0.417 -0.00831958 0.0496263  0.00276862 0.00123138 0.004
0.418 -0.00826962 0.0502898  0.00273547 0.00126453 0.004
0.419 -0.008219 0.0509494  0.00270208 0.00129792 0.004
0.42 -0.00816773 0.0516049  0.00266847 0.00133153 0.004
0.421 -0.00811579 0.0522562  0.00263464 0.00136536 0.004
0.422 -0.00806321 0.0529034  0.00260062 0.00139938 0.004
0.423 -0.00800999 0.0535463  0.0025664 0.0014336 0.004
0.424 -0.00795612 0.0541849  0.002532 0.001468 0.004
0.425 -0.00790162 0.0548193  0.00249742 0.00150258 0.004
0.426 -0.00784649 0.0554492  0.00246269 0.00153731 0.004
0.427 -0.00779072 0.0560747  0.00242782 0.00157218 0.004
0.428 -0.00773434 0.0566957  0.0023928 0.0016072 0.004
0.429 -0.00767733 0.0573122  0.00235766 0.00164234 0.004
0.43 -0.00761972 0.057924  0.0023224 0.0016776 0.004
0.431 -0.00756149 0.0585313  0.00228704 0.00171296 0.004
0.432 -0.00750265 0.0591339  0.00225159 0.00174841 0.004
0.433 -0.00744322 0.0597317  0.00221606 0.00178394 0.004
0.434 -0.00738319 0.0603248  0.00218046 0.00181954 0.004
0.435 -0.00732257 0.060913  0.0021448 0.0018552 0.004
0.436 -0.00726137 0.0614964  0.0021091 0.0018909 0.004
0.437 -0.00719958 0.0620748  0.00207336 0.00192664 0.004
0.438 -0.00713722 0.0626483  0.0020376 0.0019624 0.004
0.439 -0.00707429 0.0632167  0.00200182 0.00199818 0.004
0.44 -0.00701079 0.0637801  0.00196605 0.00203395 0.004
0.441 -0.00694673 0.0643385  0.00193028 0.00206972 0.004
0.442 -0.00688211 0.0648916  0.00189454 0.00210546 0.004
0.443 -0.00681695 0.0654396  0.00185883 0.00214117 0.004
0.444 -0.00675124 0.0659823  0.00182317 0.00217683 0.004
0.445 -0.00668498 0.0665198  0.00178756 0.00221244 0.004
0.446 -0.0066182 0.0670519  0.00175202 0.00224798 0.004
0.447 -0.00655088 0.0675787  0.00171656 0.00228344 0.004
0.448 -0.00648304 0.0681  0.00168119 0.00231881 0.004
0.449 -0.00641468 0.0686159  0.00164593 0.00235407 0.004
0.45 -0.00634581 0.0691264  0.00161077 0.00238923 0.004
0.451 -0.00627643 0.0696312  0.00157574 0.00242426 0.004
0.452 -0.00620655 0.0701306  0.00154085 0.00245915 0.004
0.453 -0.00613617 0.0706243  0.00150611 0.00249389 0.004
0.454 -0.00606531 0.0711123  0.00147152 0.00252848 0.004
0.455 -0.00599395 0.0715947  0.0014371 0.0025629 0.004
0.456 -0.00592212 0.0720714  0.00140286 0.00259714 0.004
0.457 -0.00584981 0.0725422  0.00136881 0.00263119 0.004
0.458 -0.00577704 0.0730073  0.00133497 0.00266503 0.004
0.459 -0.0057038 0.0734666  0.00130133 0.00269867 0.004
0.46 -0.0056301 0.0739199  0.00126792 0.00273208 0.004
0.461 -0.00555596 0.0743674  0.00123475 0.00276525 0.004
0.462 -0.00548137 0.0748089  0.00120182 0.00279818 0.004
0.463 -0.00540634 0.0752444  0.00116914 0.00283086 0.004
0.464 -0.00533088 0.0756739  0.00113673 0.00286327 0.004
0.465 -0.005255 0.0760973  0.0011046 0.0028954 0.004
0.466 -0.00517869 0.0765147  0.00107275 0.00292725 0.004
0.467 -0.00510197 0.0769259  0.0010412 0.0029588 0.004
0.468 -0.00502484 0.077331  0.00100996 0.00299004 0.004
0.469 -0.00494731 0.0777298  0.000979036 0.00302096 0.004
0.47 -0.00486938 0.0781225  0.000948436 0.00305156 0.004
0.471 -0.00479107 0.0785089  0.000918173 0.00308183 0.004
0.472 -0.00471237 0.0788891  0.000888257 0.00311174 0.004
0.473 -0.00463329 0.0792629  0.000858696 0.0031413 0.004
0.474 -0.00455385 0.0796304  0.0008295 0.0031705 0.004
0.475 -0.00447403 0.0799915  0.000800679 0.00319932 0.004
0.476 -0.00439386 0.0803462  0.000772242 0.00322776 0.004
0.477 -0.00431334 0.0806945  0.000744197 0.0032558 0.004
0.478 -0.00423248 0.0810364  0.000716555 0.00328345 0.004
0.479 -0.00415127 0.0813717  0.000689323 0.00331068 0.004
0.48 -0.00406974 0.0817005  0.00066251 0.00333749 0.004
0.481 -0.00398787 0.0820229  0.000636126 0.00336387 0.004
0.482 -0.00390569 0.0823386  0.000610177 0.00338982 0.004
0.483 -0.0038232 0.0826478  0.000584674 0.00341533 0.004
0.484 -0.0037404 0.0829503  0.000559624 0.00344038 0.004
0.485 -0.0036573 0.0832462  0.000535034 0.00346497 0.004
0.486 -0.00357391 0.0835355  0.000510913 0.00348909 0.004
0.487 -0.00349023 0.083818  0.000487269 0.00351273 0.004
0.488 -0.00340628 0.0840939  0.000464108 0.00353589 0.004
0.489 -0.00332205 0.084363  0.00044144 0.00355856 0.004
0.49 -0.00323755 0.0846254  0.00041927 0.00358073 0.004
0.491 -0.0031528 0.084881  0.000397605 0.00360239 0.004
0.492 -0.00306779 0.0851299  0.000376454 0.00362355 0.004
0.493 -0.00298254 0.0853719  0.000355822 0.00364418 0.004
0.494 -0.00289705 0.0856071  0.000335716 0.00366428 0.004
0.495 -0.00281133 0.0858354  0.000316143 0.00368386 0.004
0.496 -0.00272538 0.0860569  0.000297108 0.00370289 0.004
0.497 -0.00263922 0.0862714  0.000278619 0.00372138 0.004
0.498 -0.00255284 0.0864791  0.00026068 0.00373932 0.004
0.499 -0.00246626 0.0866799  0.000243298 0.0037567 0.004
0.5 -0.00237948 0.0868737  0.000226478 0.00377352 0.004
0.501 -0.00229252 0.0870606  0.000210225 0.00378977 0.004
0.502 -0.00220536 0.0872405  0.000194545 0.00380545 0.004
0.503 -0.00211804 0.0874135  0.000179443 0.00382056 0.004
0.504 -0.00203054 0.0875794  0.000164924 0.00383508 0.004
0.505 -0.00194288 0.0877383  0.000150991 0.00384901 0.004
0.506 -0.00185507 0.0878903  0.000137651 0.00386235 0.004
0.507 -0.0017671 0.0880352  0.000124906 0.00387509 0.004
0.508 -0.001679 0.088173  0.000112761 0.00388724 0.004
0.509 -0.00159076 0.0883038  0.000101221 0.00389878 0.004
0.51 -0.00150239 0.0884275  9.02874e-005 0.00390971 0.004
0.511 -0.00141391 0.0885442  7.99652e-005 0.00392003 0.004
0.512 -0.00132531 0.0886537  7.02575e-005 0.00392974 0.004
0.513 -0.0012366 0.0887562  6.11673e-005 0.00393883 0.004
0.514 -0.0011478 0.0888516  5.26975e-005 0.0039473 0.004
0.515 -0.0010589 0.0889399  4.48508e-005 0.00395515 0.004
0.516 -0.000969919 0.089021  3.76297e-005 0.00396237 0.004
0.517 -0.000880861 0.089095  3.10366e-005 0.00396896 0.004
0.518 -0.000791732 0.0891619  2.50736e-005 0.00397493 0.004
0.519 -0.000702539 0.0892217  1.97425e-005 0.00398026 0.004
0.52 -0.000613291 0.0892744  1.5045e-005 0.00398495 0.004
0.521 -0.000523993 0.0893198  1.09827e-005 0.00398902 0.004
0.522 -0.000434653 0.0893582  7.55694e-006 0.00399244 0.004
0.523 -0.000345279 0.0893894  4.7687e-006 0.00399523 0.004
0.524 -0.000255877 0.0894134  2.61892e-006 0.00399738 0.004
0.525 -0.000166454 0.0894303  1.10828e-006 0.00399889 0.004
0.526 -7.70186e-005 0.0894401  2.37274e-007 0.00399976 0.004
0.527 1.24234e-005 0.0894427  6.1736e-009 0.00399999 0.004
0.528 0.000101864 0.0894381  4.15054e-007 0.00399958 0.004
0.529 0.000191297 0.0894264  1.46378e-006 0.00399854 0.004
0.53 0.000280715 0.0894075  3.15203e-006 0.00399685 0.004
0.531 0.00037011 0.0893814  5.47925e-006 0.00399452 0.004
0.532 0.000459475 0.0893483  8.4447e-006 0.00399156 0.004
0.533 0.000548804 0.0893079  1.20474e-005 0.00398795 0.004
0.534 0.000638089 0.0892604  1.62863e-005 0.00398371 0.004
0.535 0.000727322 0.0892058  2.11599e-005 0.00397884 0.004
0.536 0.000816498 0.0891441  2.66668e-005 0.00397333 0.004
0.537 0.000905608 0.0890752  3.2805e-005 0.00396719 0.004
0.538 0.000994646 0.0889992  3.95728e-005 0.00396043 0.004
0.539 0.0010836 0.0889161  4.69679e-005 0.00395303 0.004
0.54 0.00117248 0.0888258  5.4988e-005 0.00394501 0.004
0.541 0.00126125 0.0887285  6.36304e-005 0.00393637 0.004
0.542 0.00134993 0.088624  7.28925e-005 0.00392711 0.004
0.543 0.0014385 0.0885125  8.27712e-005 0.00391723 0.004
0.544 0.00152695 0.0883939  9.32634e-005 0.00390674 0.004
0.545 0.00161528 0.0882682  0.000104366 0.00389563 0.004
0.546 0.00170349 0.0881354  0.000116075 0.00388393 0.004
0.547 0.00179155 0.0879956  0.000128386 0.00387161 0.004
0.548 0.00187948 0.0878488  0.000141297 0.0038587 0.004
0.549 0.00196725 0.0876949  0.000154803 0.0038452 0.004
0.55 0.00205486 0.087534  0.000168898 0.0038311 0.004
0.551 0.00214231 0.0873661  0.00018358 0.00381642 0.004
0.552 0.00222959 0.0871912  0.000198843 0.00380116 0.004
0.553 0.00231669 0.0870094  0.000214683 0.00378532 0.004
0.554 0.00240361 0.0868206  0.000231094 0.00376891 0.004
0.555 0.00249033 0.0866248  0.00024807 0.00375193 0.004
0.556 0.00257686 0.0864221  0.000265608 0.00373439 0.004
0.557 0.00266317 0.0862125  0.0002837 0.0037163 0.004
0.558 0.00274928 0.085996  0.000302342 0.00369766 0.004
0.559 0.00283516 0.0857726  0.000321526 0.00367847 0.004
0.56 0.00292082 0.0855424  0.000341248 0.00365875 0.004
0.561 0.00300625 0.0853053  0.000361501 0.0036385 0.004
0.562 0.00309143 0.0850614  0.000382278 0.00361772 0.004
0.563 0.00317637 0.0848107  0.000403572 0.00359643 0.004
0.564 0.00326105 0.0845532  0.000425378 0.00357462 0.004
0.565 0.00334547 0.0842889  0.000447687 0.00355231 0.004
0.566 0.00342963 0.0840179  0.000470493 0.00352951 0.004
0.567 0.00351351 0.0837402  0.000493789 0.00350621 0.004
0.568 0.0035971 0.0834558  0.000517566 0.00348243 0.004
0.569 0.00368041 0.0831647  0.000541818 0.00345818 0.004
0.57 0.00376343 0.0828669  0.000566537 0.00343346 0.004
0.571 0.00384615 0.0825625  0.000591714 0.00340829 0.004
0.572 0.00392855 0.0822515  0.000617341 0.00338266 0.004
0.573 0.00401065 0.081934  0.000643412 0.00335659 0.004
0.574 0.00409242 0.0816099  0.000669916 0.00333008 0.004
0.575 0.00417386 0.0812792  0.000696846 0.00330315 0.004
0.576 0.00425498 0.080942  0.000724193 0.00327581 0.004
0.577 0.00433575 0.0805984  0.000751948 0.00324805 0.004
0.578 0.00441617 0.0802483  0.000780102 0.0032199 0.004
0.579 0.00449624 0.0798918  0.000808647 0.00319135 0.004
0.58 0.00457595 0.0795289  0.000837574 0.00316243 0.004
0.581 0.0046553 0.0791597  0.000866872 0.00313313 0.004
0.582 0.00473427 0.0787841  0.000896532 0.00310347 0.004
0.583 0.00481286 0.0784022  0.000926546 0.00307345 0.004
0.584 0.00489107 0.0780141  0.000956903 0.0030431 0.004
0.585 0.00496889 0.0776197  0.000987594 0.00301241 0.004
0.586 0.00504631 0.077219  0.00101861 0.00298139 0.004
0.587 0.00512333 0.0768123  0.00104994 0.00295006 0.004
0.588 0.00519993 0.0763993  0.00108157 0.00291843 0.004
0.589 0.00527612 0.0759803  0.0011135 0.0028865 0.004
0.59 0.00535189 0.0755552  0.00114571 0.00285429 0.004
0.591 0.00542723 0.075124  0.00117819 0.00282181 0.004
0.592 0.00550214 0.0746868  0.00121094 0.00278906 0.004
0.593 0.0055766 0.0742437  0.00124394 0.00275606 0.004
0.594 0.00565062 0.0737946  0.00127718 0.00272282 0.004
0.595 0.00572419 0.0733396  0.00131065 0.00268935 0.004
0.596 0.0057973 0.0728787  0.00134435 0.00265565 0.004
0.597 0.00586994 0.072412  0.00137825 0.00262175 0.004
0.598 0.00594212 0.0719395  0.00141235 0.00258765 0.004
0.599 0.00601382 0.0714613  0.00144664 0.00255336 0.004
0.6 0.00608504 0.0709773  0.00148111 0.00251889 0.004
0.601 0.00615577 0.0704877  0.00151574 0.00248426 0.004
0.602 0.00622601 0.0699924  0.00155053 0.00244947 0.004
0.603 0.00629576 0.0694915  0.00158546 0.00241454 0.004
0.604 0.006365 0.0689851  0.00162053 0.00237947 0.004
0.605 0.00643373 0.0684732  0.00165571 0.00234429 0.004
0.606 0.00650194 0.0679557  0.00169101 0.00230899 0.004
0.607 0.00656964 0.0674329  0.0017264 0.0022736 0.004
0.608 0.0066368 0.0669046  0.00176189 0.00223811 0.004
0.609 0.00670344 0.066371  0.00179745 0.00220255 0.004
0.61 0.00676954 0.0658321  0.00183307 0.00216693 0.004
0.611 0.00683511 0.0652879  0.00186875 0.00213125 0.004
0.612 0.00690012 0.0647385  0.00190447 0.00209553 0.004
0.613 0.00696458 0.0641839  0.00194022 0.00205978 0.004
0.614 0.00702848 0.0636241  0.00197598 0.00202402 0.004
0.615 0.00709183 0.0630593  0.00201176 0.00198824 0.004
0.616 0.0071546 0.0624895  0.00204753 0.00195247 0.004
0.617 0.0072168 0.0619146  0.00208329 0.00191671 0.004
0.618 0.00727843 0.0613348  0.00211902 0.00188098 0.004
0.619 0.00733947 0.0607501  0.00215471 0.00184529 0.004
0.62 0.00739993 0.0601605  0.00219036 0.00180964 0.004
0.621 0.00745979 0.0595661  0.00222594 0.00177406 0.004
0.622 0.00751906 0.0589669  0.00226145 0.00173855 0.004
0.623 0.00757772 0.0583631  0.00229688 0.00170312 0.004
0.624 0.00763578 0.0577545  0.00233221 0.00166779 0.004
0.625 0.00769323 0.0571414  0.00236743 0.00163257 0.004
0.626 0.00775006 0.0565236  0.00240254 0.00159746 0.004
0.627 0.00780628 0.0559014  0.00243752 0.00156248 0.004
0.628 0.00786187 0.0552746  0.00247236 0.00152764 0.004
0.629 0.00791682 0.0546435  0.00250704 0.00149296 0.004
0.63 0.00797115 0.054008  0.00254157 0.00145843 0.004
0.631 0.00802484 0.0533681  0.00257592 0.00142408 0.004
0.632 0.00807789 0.052724  0.00261009 0.00138991 0.004
0.633 0.00813029 0.0520757  0.00264406 0.00135594 0.004
0.634 0.00818204 0.0514232  0.00267783 0.00132217 0.004
0.635 0.00823313 0.0507666  0.00271138 0.00128862 0.004
0.636 0.00828357 0.0501059  0.0027447 0.0012553 0.004
0.637 0.00833334 0.0494412  0.00277778 0.00122222 0.004
0.638 0.00838245 0.0487726  0.00281062 0.00118938 0.004
0.639 0.00843089 0.0481  0.00284319 0.00115681 0.004
0.64 0.00847865 0.0474237  0.0028755 0.0011245 0.004
0.641 0.00852573 0.0467435  0.00290752 0.00109248 0.004
0.642 0.00857213 0.0460596  0.00293926 0.00106074 0.004
0.643 0.00861785 0.045372  0.00297069 0.00102931 0.004
0.644 0.00866288 0.0446807  0.00300182 0.000998183 0.004
0.645 0.00870721 0.0439859  0.00303262 0.00096738 0.004
0.646 0.00875085 0.0432876  0.00306309 0.000936907 0.004
0.647 0.00879378 0.0425858  0.00309323 0.000906775 0.004
0.648 0.00883602 0.0418806  0.00312301 0.000876992 0.004
0.649 0.00887754 0.041172  0.00315243 0.000847569 0.004
0.65 0.00891836 0.0404602  0.00318149 0.000818514 0.004
0.651 0.00895846 0.0397451  0.00321016 0.000789838 0.004
0.652 0.00899785 0.0390269  0.00323845 0.000761548 0.004
0.653 0.00903652 0.0383055  0.00326634 0.000733655 0.004
0.654 0.00907446 0.0375811  0.00329383 0.000706168 0.004
0.655 0.00911168 0.0368536  0.00332091 0.000679094 0.004
0.656 0.00914817 0.0361232  0.00334756 0.000652443 0.004
0.657 0.00918392 0.0353899  0.00337378 0.000626223 0.004
0.658 0.00921894 0.0346538  0.00339956 0.000600443 0.004
0.659 0.00925323 0.0339149  0.00342489 0.00057511 0.004
0.66 0.00928677 0.0331733  0.00344977 0.000550234 0.004
0.661 0.00931957 0.032429  0.00347418 0.000525821 0.004
0.662 0.00935163 0.0316822  0.00349812 0.00050188 0.004
0.663 0.00938294 0.0309328  0.00352158 0.000478419 0.004
0.664 0.0094135 0.0301809  0.00354456 0.000455444 0.004
0.665 0.0094433 0.0294267  0.00356704 0.000432964 0.004
0.666 0.00947235 0.02867  0.00358901 0.000410985 0.004
0.667 0.00950064 0.0279111  0.00361049 0.000389515 0.004
0.668 0.00952817 0.0271499  0.00363144 0.00036856 0.004
0.669 0.00955494 0.0263866  0.00365187 0.000348127 0.004
0.67 0.00958094 0.0256212  0.00367178 0.000328222 0.004
0.671 0.00960618 0.0248537  0.00369115 0.000308853 0.004
0.672 0.00963065 0.0240842  0.00370998 0.000290025 0.004
0.673 0.00965435 0.0233128  0.00372826 0.000271743 0.004
0.674 0.00967727 0.0225395  0.00374598 0.000254015 0.004
0.675 0.00969943 0.0217645  0.00376315 0.000236846 0.004
0.676 0.0097208 0.0209876  0.00377976 0.000220241 0.004
0.677 0.0097414 0.0202092  0.0037958 0.000204205 0.004
0.678 0.00976122 0.019429  0.00381126 0.000188744 0.004
0.679 0.00978026 0.0186474  0.00382614 0.000173862 0.004
0.68 0.00979851 0.0178642  0.00384043 0.000159565 0.004
0.681 0.00981599 0.0170796  0.00385414 0.000145857 0.004
0.682 0.00983267 0.0162937  0.00386726 0.000132742 0.004
0.683 0.00984857 0.0155064  0.00387978 0.000120225 0.004
0.684 0.00986368 0.0147179  0.00389169 0.000108309 0.004
0.685 0.00987801 0.0139283  0.003903 9.69982e-005 0.004
0.686 0.00989154 0.0131375  0.0039137 8.62966e-005 0.004
0.687 0.00990428 0.0123456  0.00392379 7.62074e-005 0.004
0.688 0.00991623 0.0115528  0.00393327 6.67337e-005 0.004
0.689 0.00992739 0.0107591  0.00394212 5.78787e-005 0.004
0.69 0.00993775 0.00996445  0.00395035 4.96451e-005 0.004
0.691 0.00994732 0.00916904  0.00395796 4.20357e-005 0.004
0.692 0.00995609 0.0083729  0.00396495 3.50527e-005 0.004
0.693 0.00996406 0.00757609  0.0039713 2.86986e-005 0.004
0.694 0.00997124 0.00677867  0.00397702 2.29752e-005 0.004
0.695 0.00997762 0.00598071  0.00398212 1.78845e-005 0.004
0.696 0.0099832 0.00518227  0.00398657 1.3428e-005 0.004
0.697 0.00998798 0.00438342  0.00399039 9.60719e-006 0.004
0.698 0.00999197 0.00358422  0.00399358 6.4233e-006 0.004
0.699 0.00999515 0.00278473  0.00399612 3.87735e-006 0.004
0.7 0.00999754 0.00198501  0.00399803 1.97014e-006 0.004
0.701 0.00999912 0.00118514  0.0039993 7.02281e-007 0.004
0.702 0.00999991 0.000385175  0.00399993 7.418e-008 0.004
0.703 0.00999989 -0.000414822  0.00399991 8.60386e-008 0.004
0.704 0.00999908 -0.00121479  0.00399926 7.37853e-007 0.004
0.705 0.00999746 -0.00201465  0.00399797 2.02941e-006 0.004
0.706 0.00999505 -0.00281436  0.00399604 3.96031e-006 0.004
0.707 0.00999183 -0.00361384  0.00399347 6.52992e-006 0.004
0.708 0.00998782 -0.00441303  0.00399026 9.73742e-006 0.004
0.709 0.00998301 -0.00521187  0.00398642 1.35818e-005 0.004
0.71 0.0099774 -0.00601029  0.00398194 1.80618e-005 0.004
0.711 0.00997099 -0.00680823  0.00397682 2.3176e-005 0.004
0.712 0.00996378 -0.00760563  0.00397108 2.89228e-005 0.004
0.713 0.00995578 -0.00840242  0.0039647 3.53003e-005 0.004
0.714 0.00994698 -0.00919853  0.00395769 4.23065e-005 0.004
0.715 0.00993738 -0.00999391  0.00395006 4.99391e-005 0.004
0.716 0.00992699 -0.0107885  0.0039418 5.81958e-005 0.004
0.717 0.0099158 -0.0115822  0.00393293 6.70738e-005 0.004
0.718 0.00990382 -0.012375  0.00392343 7.65703e-005 0.004
0.719 0.00989105 -0.0131668  0.00391332 8.66823e-005 0.004
0.72 0.00987749 -0.0139575  0.00390259 9.74065e-005 0.004
0.721 0.00986314 -0.0147472  0.00389126 0.00010874 0.004
0.722 0.009848 -0.0155356  0.00387932 0.000120678 0.004
0.723 0.00983207 -0.0163228  0.00386678 0.000133217 0.004
0.724 0.00981535 -0.0171087  0.00385365 0.000146354 0.004
0.725 0.00979785 -0.0178933  0.00383992 0.000160085 0.004
0.726 0.00977957 -0.0186764  0.0038256 0.000174403 0.004
0.727 0.0097605 -0.019458  0.00381069 0.000189306 0.004
0.728 0.00974065 -0.020238  0.00379521 0.000204789 0.004
0.729 0.00972002 -0.0210165  0.00377915 0.000220846 0.004
0.73 0.00969862 -0.0217932  0.00376253 0.000237472 0.004
0.731 0.00967644 -0.0225682  0.00374534 0.000254662 0.004
0.732 0.00965348 -0.0233414  0.00372759 0.000272411 0.004
0.733 0.00962976 -0.0241128  0.00370929 0.000290713 0.004
0.734 0.00960526 -0.0248822  0.00369044 0.000309561 0.004
0.735 0.00957999 -0.0256496  0.00367105 0.00032895 0.004
0.736 0.00955396 -0.0264149  0.00365113 0.000348875 0.004
0.737 0.00952716 -0.0271782  0.00363067 0.000369327 0.004
0.738 0.0094996 -0.0279393  0.0036097 0.000390301 0.004
0.739 0.00947128 -0.0286981  0.00358821 0.000411791 0.004
0.74 0.00944221 -0.0294547  0.00356621 0.000433788 0.004
0.741 0.00941238 -0.0302088  0.00354371 0.000456287 0.004
0.742 0.00938179 -0.0309606  0.00352072 0.00047928 0.004
0.743 0.00935046 -0.0317099  0.00349724 0.000502759 0.004
0.744 0.00931837 -0.0324567  0.00347328 0.000526718 0.004
0.745 0.00928554 -0.0332008  0.00344885 0.000551147 0.004
0.746 0.00925197 -0.0339423  0.00342396 0.000576041 0.004
0.747 0.00921766 -0.0346811  0.00339861 0.00060139 0.004
0.748 0.00918261 -0.0354171  0.00337281 0.000627187 0.004
0.749 0.00914683 -0.0361503  0.00334658 0.000653423 0.004
0.75 0.00911031 -0.0368806  0.00331991 0.00068009 0.004
0.751 0.00907307 -0.037608  0.00329282 0.000707179 0.004
0.752 0.0090351 -0.0383323  0.00326532 0.000734682 0.004
0.753 0.0089964 -0.0390535  0.00323741 0.00076259 0.004
0.754 0.00895699 -0.0397717  0.00320911 0.000790894 0.004
0.755 0.00891686 -0.0404866  0.00318042 0.000819584 0.004
0.756 0.00887602 -0.0411984  0.00315135 0.000848653 0.004
0.757 0.00883446 -0.0419068  0.00312191 0.00087809 0.004
0.758 0.0087922 -0.0426119  0.00309211 0.000907885 0.004
0.759 0.00874924 -0.0433135  0.00306197 0.000938031 0.004
0.76 0.00870558 -0.0440117  0.00303148 0.000968516 0.004
0.761 0.00866122 -0.0447064  0.00300067 0.000999331 0.004
0.762 0.00861617 -0.0453975  0.00296953 0.00103047 0.004
0.763 0.00857043 -0.046085  0.00293809 0.00106191 0.004
0.764 0.008524 -0.0467687  0.00290634 0.00109366 0.004
0.765 0.00847689 -0.0474488  0.00287431 0.00112569 0.004
0.766 0.0084291 -0.048125  0.00284199 0.00115801 0.004
0.767 0.00838064 -0.0487974  0.00280941 0.00119059 0.004
0.768 0.00833151 -0.0494659  0.00277656 0.00122344 0.004
0.769 0.00828171 -0.0501305  0.00274347 0.00125653 0.004
0.77 0.00823125 -0.050791  0.00271014 0.00128986 0.004
0.771 0.00818013 -0.0514474  0.00267658 0.00132342 0.004
0.772 0.00812836 -0.0520998  0.00264281 0.00135719 0.004
0.773 0.00807593 -0.052748  0.00260883 0.00139117 0.004
0.774 0.00802286 -0.0533919  0.00257465 0.00142535 0.004
0.775 0.00796915 -0.0540316  0.00254029 0.00145971 0.004
0.776 0.0079148 -0.054667  0.00250576 0.00149424 0.004
0.777 0.00785982 -0.0552979  0.00247107 0.00152893 0.004
0.778 0.00780421 -0.0559245  0.00243622 0.00156378 0.004
0.779 0.00774797 -0.0565466  0.00240124 0.00159876 0.004
0.78 0.00769111 -0.0571642  0.00236613 0.00163387 0.004
0.781 0.00763364 -0.0577772  0.0023309 0.0016691 0.004
0.782 0.00757556 -0.0583855  0.00229556 0.00170444 0.004
0.783 0.00751687 -0.0589892  0.00226014 0.00173986 0.004
0.784 0.00745758 -0.0595882  0.00222462 0.00177538 0.004
0.785 0.0073977 -0.0601824  0.00218904 0.00181096 0.004
0.786 0.00733722 -0.0607718  0.00215339 0.00184661 0.004
0.787 0.00727616 -0.0613564  0.0021177 0.0018823 0.004
0.788 0.00721451 -0.061936  0.00208197 0.00191803 0.004
0.789 0.00715229 -0.0625107  0.00204621 0.00195379 0.004
0.79 0.00708949 -0.0630804  0.00201043 0.00198957 0.004
0.791 0.00702613 -0.063645  0.00197466 0.00202534 0.004
0.792 0.0069622 -0.0642045  0.00193889 0.00206111 0.004
0.793 0.00689772 -0.0647589  0.00190314 0.00209686 0.004
0.794 0.00683269 -0.0653081  0.00186742 0.00213258 0.004
0.795 0.0067671 -0.0658521  0.00183175 0.00216825 0.004
0.796 0.00670098 -0.0663909  0.00179613 0.00220387 0.004
0.797 0.00663432 -0.0669243  0.00176057 0.00223943 0.004
0.798 0.00656714 -0.0674523  0.00172509 0.00227491 0.004
0.799 0.00649942 -0.067975  0.0016897 0.0023103 0.004
0.8 0.00643119 -0.0684922  0.00165441 0.00234559 0.004
0.801 0.00636244 -0.069004  0.00161923 0.00238077 0.004
0.802 0.00629318 -0.0695102  0.00158417 0.00241583 0.004
0.803 0.00622342 -0.0700109  0.00154924 0.00245076 0.004
0.804 0.00615316 -0.0705059  0.00151446 0.00248554 0.004
0.805 0.00608241 -0.0709954  0.00147983 0.00252017 0.004
0.806 0.00601117 -0.0714791  0.00144537 0.00255463 0.004
0.807 0.00593945 -0.0719571  0.00141108 0.00258892 0.004
0.808 0.00586726 -0.0724294  0.00137699 0.00262301 0.004
0.809 0.0057946 -0.0728959  0.00134309 0.00265691 0.004
0.81 0.00572147 -0.0733565  0.00130941 0.00269059 0.004
0.811 0.00564789 -0.0738113  0.00127594 0.00272406 0.004
0.812 0.00557385 -0.0742602  0.00124271 0.00275729 0.004
0.813 0.00549937 -0.0747031  0.00120972 0.00279028 0.004
0.814 0.00542445 -0.0751401  0.00117698 0.00282302 0.004
0.815 0.00534909 -0.075571  0.00114451 0.00285549 0.004
0.816 0.00527331 -0.0759959  0.00111231 0.00288769 0.004
0.817 0.0051971 -0.0764147  0.00108039 0.00291961 0.004
0.818 0.00512048 -0.0768274  0.00104877 0.00295123 0.004
0.819 0.00504345 -0.077234  0.00101745 0.00298255 0.004
0.82 0.00496601 -0.0776344  0.000986451 0.00301355 0.004
0.821 0.00488818 -0.0780286  0.000955772 0.00304423 0.004
0.822 0.00480996 -0.0784165  0.000925428 0.00307457 0.004
0.823 0.00473135 -0.0787981  0.000895427 0.00310457 0.004
0.824 0.00465236 -0.0791735  0.000865779 0.00313422 0.004
0.825 0.004573 -0.0795425  0.000836495 0.00316351 0.004
0.826 0.00449328 -0.0799052  0.000807583 0.00319242 0.004
0.827 0.0044132 -0.0802614  0.000779052 0.00322095 0.004
0.828 0.00433276 -0.0806113  0.000750912 0.00324909 0.004
0.829 0.00425198 -0.0809547  0.000723172 0.00327683 0.004
0.83 0.00417085 -0.0812916  0.00069584 0.00330416 0.004
0.831 0.0040894 -0.081622  0.000668926 0.00333107 0.004
0.832 0.00400761 -0.0819459  0.000642438 0.00335756 0.004
0.833 0.00392551 -0.0822632  0.000616384 0.00338362 0.004
0.834 0.00384309 -0.0825739  0.000590773 0.00340923 0.004
0.835 0.00376036 -0.0828781  0.000565612 0.00343439 0.004
0.836 0.00367733 -0.0831756  0.000540911 0.00345909 0.004
